Curation,Variable ID,Variable name,Variable label,Variable description,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Entity,Attribute,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Method Abbreviation,Formula,Method reference,Scale ID,Scale name,Scale Abbreviation,Scale class,Scale Xref,Cat 1 code,Cat 1 description,Cat 2 code,Cat 2 description,Cat 3 code,Cat 3 description,Cat 4 code,Cat 4 description,Cat 5 code,Cat 5 description,Cat 6 code,Cat 6 description,Cat 7 code,Cat 7 description,Cat 8 code,Cat 8 description,Cat 9 code,Cat 9 description,Cat 10 code,Cat 10 description,,,,
,CO_369:0000052,PlGrS_PGrSest_PGrS scale,Plant growth stage est [PGrS scale],The current plant growth stage of a single plant or group of plants/plot as estimated by the plant growth stage estimation method.,,,"V1,E1,B1,B2,F1,F2,P1,P2,P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001045,Plant,growth stage,Plant growth stage,Morphological,The current growth stage of a plant or the average growth stage of a group of plants or plot,,PlGrS,,Recommended,,CO_369:0002048,Plant growth stage estimation,Estimation,"Description: Estimate the growth stage of a plant or set of plants
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. For a single plant, match the current stage of plant growth to the descriptions in the plant growth stage categories.
 2. For a group of plants, match the average growth stage of all the plants to the most representative category.",PGrSest,,,CO_369:0003027,PGrS,PGrS scale,Numerical,,Em,Seedling emergence,V1,Vegetative stage - no elongated stems,E1,Vegetative stage - stem elongation,B1,Early bud: 1 to 2 nodes with buds; no flowers or seed pods,B2,Late bud: > 2 nodes with buds; no flowers or seed pods,F1,Early flowering: one node with one open flower; no seed pods,F2,Peak/Late Flowering: >= 2 nodes with open flower; no seed pods,P1,Early seed pod: 1 to 3 nodes with green seed pods,P2,Late seed pod: > 3 nodes with green seed pods,P3,Ripe seed pod: nodes with mostly brown mature seed pods,PH1,"Postharvest: After harvesting all seeds, fruit, or forage",Do,Dormant winter period
,CO_369:0000053,PlMSC_MSCcmp_PGrS scale,Plant mean stage count cmp [PGrS scale],"The weighted average growth stage of stems in a sample of plants or a plot, expressed as a float number on the PGrS Scale",,,"V1,E1,B1,B2,F1,F2,P1,P2,P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001046,Plant,mean stage count,Plant mean stage count,Phenological,The weighted average growth stage of a sample of stems,,PlMSC,,Recommended,,CO_369:0002049,Plant mean stage count computation,Computation,"Description: The average stage of development for a group of plants or plant canopy
 
 Materials:
 
 Dependent_on: Plant growth stage est {PGrS Scale]; Stem number cnt [n]; 
 
 Protocol:
 1. Sample stems according to your sampling protocol.
 2. Tally the number of stems in that fall into each category.
 3. Over all indices from the lowest growth stage index to the highest index, sum the product of the growth stage index and the number of stems in that growth stage divided by the number of stems.",MSCcmp,MSC=\sum_{i=0}^{n} (S*N)/C,"Quantifying Morphological Development of Alfalfa for Studies of Herbage Quality. Bernard A. Kalu and Gary W. Fick. Crop Science , Vol 21, March-April 1981",CO_369:0003027,PGrS,PGrS scale,Numerical,,Em,Seedling emergence,V1,Vegetative stage - no elongated stems,E1,Vegetative stage - stem elongation,B1,Early bud: 1 to 2 nodes with buds; no flowers or seed pods,B2,Late bud: > 2 nodes with buds; no flowers or seed pods,F1,Early flowering: one node with one open flower; no seed pods,F2,Peak/Late Flowering: >= 2 nodes with open flower; no seed pods,P1,Early seed pod: 1 to 3 nodes with green seed pods,P2,Late seed pod: > 3 nodes with green seed pods,P3,Ripe seed pod: nodes with mostly brown mature seed pods,PH1,"Postharvest: After harvesting all seeds, fruit, or forage",Do,Dormant winter period
,CO_369:0000054,PlN_PlNcnt_n,Plant number cnt [n],This is a generic variable for recording the number of plants observed or sampled.,,,"V1,E1,B1,B2,F1,F2,P1,P2,P3",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001047,Plant,number,Plant number,Agronomic,The total number of plants observed.,,PlN,,Recommended,,CO_369:0002051,Plant number counting,Counting,"Description: Record the total number of plants in a group or sample
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. Count all sampled plants, all the plants in one plot/sward, or all the plants in a row.
 2. Express as an integer.",PlNcnt,,,CO_369:0003023,number,n,Numerical,UO:0000189,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000055,PlODTF_DTFcmp_days,Plant ordinal DTF cmp [days],The time in days it takes for a plant or group of plants to begin flowering from January 1st of a given year.,,,"F1,F2",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001048,Plant,ordinal DTF,Plant ordinal DTF,Phenological,The time it takes in days for a plant or group of plants to flower starting from January 1st of a given year.,,PlODTF,,Recommended,,CO_369:0002045,Ordinal DTF computation,Computation,"Description: Record the ordinal days to flowering (DTF) from January 1st
 
 Materials:
 
 Dependent_on: January 1st [ISO 8601], Plant flowering date est [ISO 8601]
 
 Protocol:
 1. Record the integer number of days that have elapsed between the plant flowering date and January 1st on a given year.",DTFcmp,,,CO_369:0003005,day,days,Duration,UO:0000033,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000056,PlRGDate_RGest_date,Plant regrowth date est [date],This is the date at which 50% of the plants in an established plot or group of plants have initiated new growth in the spring.,,,V1,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001049,Plant,regrowth date,Plant regrowth date,Phenological,The ISO 8601 date that established plants have new spring regrowth after a dormant period,,PlRGDate,,Recommended,,CO_369:0002077,Spring regrowth date estimation,Estimation,"Description: Estimate the date of the appearance of spring regrowth of established plants in a plot
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. For a single plant, plot, or group of established plants, record the date when 50% of the plants have new spring growth.",RGest,,,CO_369:0003004,date,date,Date,,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000057,PlStEr_StErest_SE0-9,Plant stem erectness est [SE0-9],This is variable is a rating on an ordinal scale representing the percentage of erect stems (stems with a ground angle > 45 degrees) within a given plot/group of plants.,,,"F2,P1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001050,Plant,stem erectness,Plant stem erectness,Morphological,"The proportion of plants within a sampled plot/sward that are resistant to stem lodging, i.e. have stem angles > 45 degrees.",,PlStEr,,Recommended,,CO_369:0002078,Stem erectness estimation,Estimation,"Description: Estimate the erectness of stems in a plant or plot of plants
 
 Materials: 
 
 Dependent_on:
 
 Protocol:
 1. Estimate the percentage of stems that have a mean angle greater than 45 degrees from the ground.
 2. Record the stem erectness as the number bin (0-9) that contains the estimated percentage.",StErest,,,CO_369:0003029,SE0-9,SE0-9,Ordinal,,0,0-10% erect stems,1,11-20% erect stems,2,21-30% erect stems,3,31-40% erect stems,4,41-50% erect stems,5,51-60% erect stems,6,61-70% erect stems,7,71-80% erect stems,8,81-90% erect stems,9,91-100% erect stems,,,,
,CO_369:0000058,PlWKD_WKest_WKD1-5,Plant winter kill damage est [WKD1-5],"A visual rating of the winter kill damage on a plant, plot, or group of plants on the winter kill damage 1-5 scale.",,,Do,Recommended,,Adana Alparslan Türkeş Science and Technology University - 013z3yn41,Muhammet Sakirgolu - 0000-0002-7024-4348,02-11-2022,EN,Sainfoin,CO_369:0001051,Plant,winter kill damage,Plant winter kill damage,Agronomic,The winter damage observed on a plant or group of plants,,PlWKD,,Recommended,,CO_369:0002082,Winter kill estimation,Estimation,"Description: Estimate the winter kill damage of a plant or plot
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. Observe winter kill of a single plant or the average damage of plants in a plot and rate it on the winter kill damage scale",WKest,,NEED TITLE OF REFERENCE FOR THIS METHOD.,CO_369:0003030,WKD1-5,WKD1-5,Ordinal,,1,None (N),2,Trace (T),3,Slight (S),4,Moderate (M),5,Very Severe (VS),,,,,,,,,,,,,,
,CO_369:0000059,PlPctWS_WSest_%,Plant winter survival est [%],The percentage of plants in a plot or group of plants that have spring regrowth.,,,V1,Recommended,,Adana Alparslan Türkeş Science and Technology University - 013z3yn41,Muhammet Sakirgolu - 0000-0002-7024-4348,02-11-2022,EN,Sainfoin,CO_369:0001052,Plant,winter survival,Plant winter survival,Agronomic,The amount of plants that survived the winter and regrow in the spring,,PlPctWS,,Recommended,,CO_369:0002083,Winter survival estimation,Estimation,"Description: Estimate the winter survival of a plot of plants
 
 Materials:
 
 Dependent_on: Plant number cnt [n]
 
 Protocol:
 1. For each plot or group of plants, count the number of plants that have regrowth in the spring.
 2. Divide the number of plants with regrowth by the total number of plants in the plot
 3. Express as a percentage.",WSest,,,CO_369:0003001,percent,%,Numerical,UO:0000187,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000060,PtAr_PtArmsr_m2,Plot area msr [m2],"The total area of an experimental plot, measured in m2.",,,"V1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001053,Plot,area,Plot area,Morphological,The total area of an experimental plot,,PtAr,,Recommended,,CO_369:0002052,Plot area measurement,Measurement,"Description: Measure the total area of a plot
 
 Materials: tape measure
 
 Dependent_on:
 
 Protocol:
 1. Find the corner of the plot.
 2. Record the actual length and width of the plot.
 3. Multiply and express in square units of length.",PtArmsr,,,CO_369:0003018,square meter,m2,Numerical,UO:0000080,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000061,RaL_RaLmsr_cm,Raceme length msr [cm],The length of the raceme measured in cm from end to end when laid out.,,,P2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001054,Raceme,length,Raceme length,Morphological,"The total length of a single raceme, or the mean length of several racemes",,RaL,,Recommended,,CO_369:0002053,Raceme length measurement,Measurement,"Description: Measure the length of a raceme
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. Select one inflorescence, starting at the proximal end, search for the most proximal flower or flower scar and use this as a starting point.
 2. Measure the distance from the starting point to the distal end of the inflorescence.
 3. Record this length as the raceme length.
 4. Repeat for as many racemes as necessary and take the average raceme length.",RaLmsr,,,CO_369:0003003,centimeter,cm,Numerical,UO:0000015,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000062,RaN_RaNPlcmp_n/Pl,Raceme number cmp [n/Pl],The total number of racemes divided by the number of plants sampled.,,,P2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001055,Raceme,number,Raceme number,Agronomic,"The total number of racemes counted, estimated, or observed",,RaN,,Recommended,,CO_369:0002055,Raceme number per plant computation,Computation,"Description: Compute the number of racemes per plant
 
 Materials:
 
 Dependent_on: Raceme number cnt [n], Plant number cnt [n]
 
 Protocol:
 1. Sample plants according to your sampling protocol
 2. Set aside each stem on each plant and quickly tally all the racemes
 3. Record the total number of racemes counted and divided by the total number of plants harvested/sampled.",RaNPlcmp,,,CO_369:0003024,number per plant,n/Pl,Numerical,UO:0000189/PO:0000003,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000063,RaN_RaNStcmp_n/St,Raceme number cmp [n/St],The number of racemes divided by the total number of stems sampled.,,,P2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001055,Raceme,number,Raceme number,Agronomic,"The total number of racemes counted, estimated, or observed",,RaN,,Recommended,,CO_369:0002056,Raceme number per stem computation,Computation,"Description: Compute the number of racemes per stem
 
 Materials:
 
 Dependent_on: Raceme number cnt [n], Stem number cnt [n]
 
 Protocol:
 1. For one plant, sample stems according to your sampling protocol.
 2. Count the number of racemes on each stem.
 3. Divide the number of racemes by the number of stems sampled.",RaNStcmp,,,CO_369:0003026,number per stem,n/St,Numerical,UO:0000189/PO:0009047,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000064,RaN_RaNcnt_n,Raceme number cnt [n],This is a generic variable for recording the number of racemes that were sampled expressed as an integer. Usually used computationally in conjunction with other variables/methods.,,,P2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001055,Raceme,number,Raceme number,Agronomic,"The total number of racemes counted, estimated, or observed",,RaN,,Recommended,,CO_369:0002054,Raceme number counting,Counting,"Description: Count the total number of racemes
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. Sample racemes according to your sampling protocol
 2. Count all racemes and express as an integer",RaNcnt,,,CO_369:0003023,number,n,Numerical,UO:0000189,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000065,Sd1KK_SdMmsr_g,Seed 1000K weight msr [g],The 1000 kernel weight of seed sample or an accession expressed in grams.,,,P3,Recommended,https://open.alberta.ca/dataset/72cfb3d9-cf69-4282-81e8-a53cab3d1ce7/resource/8d2b338b-853a-4e42-bd98-5b19d8b8d43a/download/100_22-1.pdf,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001056,Seed,1000K weight,Seed 1000K weight,Agronomic,The total mass of 1000 seeds at XX% moisture content,,Sd1KK,,Recommended,,CO_369:0002062,Seed mass measurement,Measurement,"Description: Record the total mass of a sample of seeds.
 
 Materials: cleaned fruit; laboratory seed cleaner/dehuller; digital scale;
 
 Dependent_on: Seed moisture content [%]
 
 Protocol:
 1. Sample fruit according to your sampling protocol
 2. Place cleaned fruit into the seed cleaning/dehulling machine (Haldrup LT15).
 3. Process the fruits until the majority of the pericarps have been removed.
 4. Place the cleaned seed onto a laboratory scale and record the mass in the appropriate units.
 5. Report seed mass at seed moisture content.",SdMmsr,,,CO_369:0003007,gram,g,Numerical,UO:0000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000066,SdAC_ACmsr_DMB,Seed ash content msr [DMB],The ash content of a sample of seeds measured by AACC 08-01.01 expressed on a dry matter basis.,,,"P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001057,Seed,ash content,Seed ash content,Quality,The ash content of a sample of seeds,,SdAC,,Recommended,,CO_369:0002057,Seed ash content measurement,Measurement,"Description: Measure the total ash content of seed flour by incinerating in a muffle furnace
 
 Materials: muffle furnace with pyrometer and temperature control; broad shallow ashing dish; scale;
 
 Dependent_on:
 
 Protocol:
 1. Weigh 3-5 +/- 0.0001 g of well mixed sample into ashing dish that has been ignited, cooled in desiccator, and weighed soon after attaining room temperature.
 2. Place in muffle furnace at 550F for soft wheat flours or 575-590 for hard wheat flours. Incinerate until light gray ash is obtained or to constant weight. Ash must not be allowed to fuse. Cool in desiccator and weigh soon after room temperature is attained.
 3. See AACC 08-01.01",ACmsr,SdAC= \frac{weight_{residue}}{weight_{sample}}\cdot 100,,CO_369:0003006,gram per 100 gram (dry matter basis),DMB,Numerical,UO:1000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000067,SdAR_ARmsr_ratio,Seed aspect ratio msr [ratio],The ratio of the seed bounding box width to its height.,,,"P3,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001058,Seed,aspect ratio,Seed aspect ratio,Morphological,The ratio of the seed bounding box width to its height.,,SdAR,,Recommended,,CO_369:0002035,Object aspect ratio measurement,Measurement,"Description: Calculate the ratio of the object's bounding box width to it's height
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Create a bounding box around a segmented object using cv.boundingrect(obj).
 2. Extract the bounding box width and height.
 3. Express the aspect ratio as the width/height.
 4. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",ARmsr,AR=\frac{width}{height},,CO_369:0003028,ratio,ratio,Numerical,UO:0010006,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000068,SdCC_CCcmp_DMB,Seed carbohydrate content cmp [DMB],The carbohydrate content of a sample of seeds expressed on a dry matter basis.,,,"P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001059,Seed,carbohydrate content,Seed carbohydrate content,Quality,The carbohydrate content of a sample of seeds,,SdCC,,Recommended,,CO_369:0002058,Seed carbohydrate content computation,Computation,"Description: A quick, indirect computation of total seed carbohydrates based.
 
 Materials:
 
 Dependent_on: Seed ash content msr [DMB], Seed moisture content msr [%], Seed crude fat content msr [DMB], Seed protein content msr [DMB]
 
 Protocol:
 1. Calculate the seed carbohydrate content according to the formula",CCcmp,SdCC = 100-(Ash+Moisture+Fat+Protein),,CO_369:0003006,gram per 100 gram (dry matter basis),DMB,Numerical,UO:1000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000069,SdCol_Colmsr_HSV,Seed color msr [HSV],"The average color of a seed or group of seeds from one plant or plot when expressed in the HSV (Hue, Saturation, Value) color model.",,,"P3,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001060,Seed,color,Seed color,Morphological,"The average color of a seed or group of seeds from a plant, expressed as a vector of float values in the color model of choice such as RGB or HSV.",,SdCol,,Recommended,,CO_369:0002036,Object color measurement,Measurement,"Description: Calculate the average color of an object
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. After segmenting the image using basic image processing algorithms, select objects using cv.findContours() etc.
 2. Find the average of all pixels in the contour
 3. Express as a vector of HSV values.",Colmsr,,,CO_369:0003013,HSV,HSV,Code,,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000070,SdCD_CDmsr_μm,Seed convexity defect msr [μm],The length of the largest convexity defect (usually the seed hilum) of a seed's projected area expressed in μm.,"seed convexity defect length, seed hilum depth",,"P3,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001061,Seed,convexity defect,Seed convexity defect,Morphological,The length of the largest convexity defect of a seeds projected area. Generally located at the seed hilum.,,SdCD,,Recommended,,CO_369:0002037,Object convexity defect measurement,Measurement,"Description: Calculate the average length of a convexity defect in an image
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. See examples at https://theailearner.com/2020/11/09/convexity-defects-opencv/",CDmsr,,,CO_369:0003031,micrometer,μm,Numerical,UO:0000017,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000071,SdCFC_CFCmsr_DMB,Seed crude fat content msr [DMB],The crude fat content of a sample of seeds measured by AACC 30-25.01 expressed on a dry matter basis.,,,"P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001062,Seed,crude fat content,Seed crude fat content,Quality,The crude fat content of a sample of seeds,,SdCFC,,Recommended,,CO_369:0002059,Seed crude fat content measurement,Measurement,"Description: Determination of crude fat content in sample by Soxhlet or continuous extraction
 
 Materials: extractor; filter paper; extraction thimbles 22x80mm; cotton (free from ether extract) or Pyrex glass wool; vacuum oven or vacuum desiccator for nonoxidative drying of sample; petroleum ether (redistilled, BP 30-60F)
 
 Dependent_on:
 
 Protocol:
 1. See AACC 30-25.01",CFCmsr,,,CO_369:0003006,gram per 100 gram (dry matter basis),DMB,Numerical,UO:1000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000072,SdDFC_DFCmsr_DMB,Seed dietary fiber content msr [DMB],The dietary fiber content of a sample of seeds measured by AACC 32-07.01 expressed on a dry matter basis.,,,"P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001063,Seed,dietary fiber content,Seed dietary fiber content,Quality,The dietary fiber content of a sample of seeds,,SdDFC,,Recommended,,CO_369:0002060,Seed dietary fiber content measurement,Measurement,"Description: Measure the total dietary fiber in a sample of seeds
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. See AACC 32-07.01 (method1)
 2. See AOAC 991.43 (method2)",DFCmsr,,,CO_369:0003006,gram per 100 gram (dry matter basis),DMB,Numerical,UO:1000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000073,SdEqD_EqDmsr_mm,Seed equivalent diameter msr [mm],The diameter of a circle that has an area equal to the projected area of a seed. Expressed in mm.,,,"P3,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001064,Seed,equivalent diameter,Seed equivalent diameter,Morphological,The diameter of a circle of equivalent area to the area of the seed,,SdEqD,,Recommended,,CO_369:0002038,Object equivalent diameter measurement,Measurement,"Description: Calculate the equivalent diameter of an image object
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",EqDmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000074,SdEx_Exmsr_ratio,Seed extent msr [ratio],The ratio of the seed contour area to the bounding box area.,,,"P3,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001065,Seed,extent,Seed extent,Morphological,The ratio of the seed contour area to the bounding box area.,,SdEx,,Recommended,,CO_369:0002039,Object extent measurement,Measurement,"Description: Calculate the object extent
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Retrieve the total area of an object in an image
 2. Create a bounding box around the image with cv.boundingRect()
 3. Compute the extent as the ratio between the object area and the bounding box area.
 4. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",Exmsr,,,CO_369:0003028,ratio,ratio,Numerical,UO:0010006,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000075,SdIC_ICmsr_DMB,Seed iron content msr [DMB],The iron content of a sample of seeds expressed on a dry matter basis.,,,P3,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001066,Seed,iron content,Seed iron content,Quality,The iron content of a sample of seeds,,SdIC,,Recommended,,CO_369:0002061,Seed iron content measurement,Measurement,"Description: Measure the iron content in a sample of seeds
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. See full protocol at AACC 40-70.01",ICmsr,,,CO_369:0003006,gram per 100 gram (dry matter basis),DMB,Numerical,UO:1000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000076,SdL_Lmsr_mm,Seed length msr [mm],The length of a seed along its main axis measured in mm or the length of the major axis of an ellipse fit to a seed contour expressed in mm.,,,"P3,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001067,Seed,length,Seed length,Morphological,The length of a seed along its main axis.,,SdL,,Recommended,,CO_369:0002040,Object length measurement,Measurement,"Description: Calculate an objects length
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Fit either an ellipse or a rotated bounding box(cv.minAreaRect()) to an object.
 2. Export the object length as either the length of the major axis (ellipse) or the longer side of the rotated bounding box.
 3. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",Lmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000077,SdM_SdMmsr_g,Seed mass msr [g],"This is a generic variable for recording the mass of seeds that were harvested, sampled, or observed, expressed in grams.",,,P3,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001068,Seed,mass,Seed mass,Agronomic,The total mass of seeds observed or sampled.,,SdM,,Recommended,,CO_369:0002062,Seed mass measurement,Measurement,"Description: Record the total mass of a sample of seeds.
 
 Materials: cleaned fruit; laboratory seed cleaner/dehuller; digital scale;
 
 Dependent_on: Seed moisture content [%]
 
 Protocol:
 1. Sample fruit according to your sampling protocol
 2. Place cleaned fruit into the seed cleaning/dehulling machine (Haldrup LT15).
 3. Process the fruits until the majority of the pericarps have been removed.
 4. Place the cleaned seed onto a laboratory scale and record the mass in the appropriate units.
 5. Report seed mass at seed moisture content.",SdMmsr,,,CO_369:0003007,gram,g,Numerical,UO:0000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000078,SdMoiC_SdMoiCmsr_%,Seed moisture content msr [%],The amount of moisture in a sample of seeds expressed as a percentage of the seeds total weight determined by weight measurements.,,,"P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001069,Seed,moisture content,Seed moisture content,Quality,The total moisture content of a sample of seeds,,SdMoiC,,Recommended,,CO_369:0002063,Seed moisture content measurement,Measurement,"Description: Determination of moisture content as measured by sample weight loss in an oven under specified conditions.
 
 Materials: laboratory mill with 18-20 mesh screen; oven capable of maintaining 130F +/- 1F; aluminum moisture dishes 55mm dia and 15mm height; airtight desiccator with activated alumina; analytical balance with mg resolution;
 
 Dependent_on:
 
 Protocol:
 1. Grind 30-40g of sample in the mill.
 2. Mix rapidly with a spoon or spatula and immediately transfer a 2-3g portion to each of two or more tared moisture dishes.
 3. Cover and weigh dishes at once.
 4. Subtract the tare weights and record weight of sample.
 5. Clean mill in between samples.
 6. Uncover dishes and place them on shelf of oven. Place covers under the dished.
 7. Insert shelf in oven at level of thermometer bulb.
 8. Heat for exactly 60 min after the oven recovers its temperature.
 9. Remove the shelf and dishes from the over, cover rapidly (using rubber finger insulators) and transfer to desiccator as quickly as possible.
 10. Weigh dishes after they reach room temperature (45-60 min usually).
 11. Determine loss in weight as moisture.
 12. Replicate determinations must be within 0.2% moisture.
 13. See AACC 44-15.02",SdMoiCmsr,"\%Moisture=\frac{A}{B}\cdot100
 
 A = moisture loss in grams
 B = original weight of sample in grams",,CO_369:0003001,percent,%,Numerical,UO:0000187,,,,,,,,,,,,,,,,,,,,,,,,
